# Function introduction versions extracted from the Stan 2.39 Functions Reference.
log1m_inv_logit	2.0
log1p	2.0
log1p_exp	2.0
log2	2.0
log_determinant	2.0
log_determinant_spd	2.30
log_diff_exp	2.0
log_falling_factorial	2.0
log_inv_logit	2.0
log_inv_logit_diff	2.25
log_mix	2.6
log_modified_bessel_first_kind	2.26
log_rising_factorial	2.0
log_softmax	2.0
log_sum_exp	2.0
logistic_cdf	2.0
logistic_lccdf	2.12
logistic_lcdf	2.12
logistic_lpdf	2.12
logistic_lupdf	2.25
logistic_rng	2.18
logit	2.0
loglogistic_cdf	2.29
loglogistic_lpdf	2.29
loglogistic_rng	2.29
lognormal_cdf	2.0
lognormal_lccdf	2.12
lognormal_lcdf	2.12
lognormal_lpdf	2.12
lognormal_lupdf	2.25
lognormal_rng	2.22
machine_precision	2.0
map_rect	2.18
matrix_exp	2.13
matrix_exp_multiply	2.18
matrix_power	2.24
max	2.0
mdivide_left_spd	2.12
mdivide_left_tri_low	2.12
mdivide_right_spd	2.12
mdivide_right_tri_low	2.12
mean	2.0
min	2.0
modified_bessel_first_kind	2.1
modified_bessel_second_kind	2.1
multi_gp_cholesky_lpdf	2.12
multi_gp_cholesky_lupdf	2.25
multi_gp_lpdf	2.12
multi_gp_lupdf	2.25
multi_normal_cholesky_lpdf	2.18
multi_normal_cholesky_lupdf	2.25
multi_normal_cholesky_rng	2.3
multi_normal_lpdf	2.12
multi_normal_lupdf	2.25
multi_normal_prec_lpdf	2.18
multi_normal_prec_lupdf	2.25
multi_normal_rng	2.0
multi_student_t_cholesky_lpdf	2.30
multi_student_t_cholesky_lupdf	2.30
multi_student_t_cholesky_rng	2.30
multi_student_t_lpdf	2.18
multi_student_t_lupdf	2.25
multi_student_t_rng	2.0
multinomial_logit_lpmf	2.24
multinomial_logit_lupmf	2.25
multinomial_lpmf	2.12
multinomial_lupmf	2.25
multiply_lower_tri_self_transpose	2.0
neg_binomial_2_cdf	2.6
neg_binomial_2_lccdf	2.12
neg_binomial_2_lcdf	2.12
neg_binomial_2_log_glm_lpmf	2.23
neg_binomial_2_log_glm_lupmf	2.25
neg_binomial_2_log_lpmf	2.20
neg_binomial_2_log_lupmf	2.25
neg_binomial_2_log_rng	2.18
neg_binomial_2_lpmf	2.20
neg_binomial_2_lupmf	2.25
neg_binomial_2_rng	2.18
neg_binomial_cdf	2.0
neg_binomial_lccdf	2.12
neg_binomial_lcdf	2.12
neg_binomial_lpmf	2.12
neg_binomial_lupmf	2.25
neg_binomial_rng	2.18
negative_infinity	2.0
norm	2.28
norm1	2.30
norm2	2.30
normal_cdf	2.0
normal_id_glm_lpdf	2.29
normal_id_glm_lupdf	2.29
normal_lccdf	2.15
normal_lcdf	2.12
normal_lpdf	2.12
normal_lupdf	2.25
normal_rng	2.18
not_a_number	2.0
num_elements	2.5
ode	2.29
one_hot_row_vector	2.24
one_hot_vector	2.24
ones_row_vector	2.26
ones_vector	2.26
ordered_constrain	2.37
ordered_jacobian	2.37
ordered_logistic_glm_lpmf	2.23
ordered_logistic_glm_lupmf	2.25
ordered_logistic_lpmf	2.18
ordered_logistic_lupmf	2.25
ordered_logistic_rng	2.0
ordered_probit_lpmf	2.18
ordered_probit_lupmf	2.25
ordered_probit_rng	2.18
ordered_unconstrain	2.37
owens_t	2.25
pareto_cdf	2.0
pareto_lccdf	2.12
pareto_lcdf	2.12
pareto_lpdf	2.12
pareto_lupdf	2.25
pareto_rng	2.18
pareto_type_2_cdf	2.5
pareto_type_2_lccdf	2.18
pareto_type_2_lcdf	2.18
pareto_type_2_lpdf	2.18
pareto_type_2_lupdf	2.25
pareto_type_2_rng	2.18
pi	2.0
poisson_cdf	2.0
poisson_lccdf	2.12
poisson_lcdf	2.12
poisson_log_glm_lpmf	2.23
poisson_log_glm_lupmf	2.25
poisson_log_lpmf	2.12
poisson_log_lupmf	2.25
poisson_log_rng	2.18
poisson_lpmf	2.12
poisson_lupmf	2.25
poisson_rng	2.18
polar	2.28
positive_infinity	2.0
positive_ordered_constrain	2.37
positive_ordered_jacobian	2.37
positive_ordered_unconstrain	2.37
pow	2.0
print	2.1
prod	2.0
proj	2.28
qr_Q	2.3
qr_R	2.3
qr_thin_Q	2.18
qr_thin_R	2.18
quad_form	2.0
quad_form_diag	2.3
quad_form_sym	2.3
quantile	2.27
rank	2.0
rayleigh_cdf	2.0
rayleigh_lccdf	2.12
rayleigh_lcdf	2.12
rayleigh_lpdf	2.12
rayleigh_lupdf	2.25
rayleigh_rng	2.18
reduce_sum	2.23
reduce_sum_static	2.23
reject	2.18
rep_matrix	2.0
rep_row_vector	2.0
rep_vector	2.0
residual	2.23
reverse	2.23
rising_factorial	2.20
round	2.0
row	2.0
rows	2.0
rows_dot_product	2.0
rows_dot_self	2.0
scale_matrix_exp_multiply	2.18
scaled_inv_chi_square_cdf	2.0
scaled_inv_chi_square_lccdf	2.12
scaled_inv_chi_square_lcdf	2.12
scaled_inv_chi_square_lpdf	2.12
scaled_inv_chi_square_lupdf	2.25
scaled_inv_chi_square_rng	2.18
sd	2.0
segment	2.0
simplex_constrain	2.37
simplex_jacobian	2.37
simplex_unconstrain	2.37
sin	2.0
singular_values	2.0
sinh	2.0
size	2.26
skew_double_exponential_cdf	2.28
skew_double_exponential_lccdf	2.28
skew_double_exponential_lcdf	2.28
skew_double_exponential_lpdf	2.28
skew_double_exponential_lupdf	2.28
skew_double_exponential_rng	2.28
skew_normal_cdf	2.16
skew_normal_lccdf	2.18
skew_normal_lcdf	2.18
skew_normal_lpdf	2.16
skew_normal_lupdf	2.25
skew_normal_rng	2.18
softmax	2.0
